 	sdm0
200 	0
201 	0
202 	0
203 	0.00836621017715413
204 	0.00837976613588193
205 	0.00852521245027577
206 	0.00879600893696156
207 	0.00918107064466807
208 	0.00966675241289292
209 	0.0101952793998741
210 	0.00912193049221445
211 	0.00818542877365502
212 	0.00743764794493933
213 	0.00693986340914816
214 	0.00674763186332063
215 	0.00688658854794294
216 	0.00664625869533234
217 	0.0061462181326491
218 	0.00586604987408521
219 	0.00583749826712883
220 	0.0060641184037365
221 	0.00651935419444794
222 	0.00684967048718677
223 	0.00600039767722399
224 	0.00556839614389858
225 	0.0056502013924006
226 	0.00622559176004487
227 	0.00717681590815477
228 	0.00837680471451375
229 	0.00812273861784855
230 	0.00746861619825166
231 	0.0069322777050203
232 	0.00654275335329795
233 	0.00632721658428862
234 	0.00630354019315638
235 	0.00634534128615456
236 	0.00631575581550342
237 	0.00643730575239012
238 	0.00670177271502448
239 	0.00709318884870128
240 	0.00759194421134902
241 	0.00817842430536185
242 	0.00783379831776789
243 	0.0075847326971058
244 	0.00749942652720138
245 	0.00758340824000005
246 	0.00783123342643882
247 	0.00822811081424574
248 	0.0081928831334583
249 	0.00781439133047103
250 	0.007557026557926
251 	0.00743338076738167
252 	0.0074501147355449
253 	0.00760630200668561
254 	0.00774466666944353
255 	0.00723019054101696
256 	0.00685851773352423
257 	0.00665362251301913
258 	0.00663098306388105
259 	0.00679242203078058
260 	0.00712543854776833
261 	0.00675727442428872
262 	0.00628568698358516
263 	0.00599107420397942
264 	0.00590000723991704
265 	0.00602172789123434
266 	0.00634399985912483
267 	0.00656836317547622
268 	0.00662507418148911
269 	0.00696294309462621
270 	0.00754428927674833
271 	0.00831821978352366
272 	0.0092364503769704
273 	0.0102336268593972
274 	0.00990834507147972
275 	0.0097733044973072
276 	0.00983634357482911
277 	0.0100937517519754
278 	0.0105312862140556
279 	0.0111277198741538
280 	0.01083109514145
281 	0.0100878970442374
282 	0.00947634953045111
283 	0.00902326010417418
284 	0.00875326991632475
285 	0.00868347478747099
286 	0.00862250921706167
287 	0.00821541697764031
288 	0.00793975745869081
289 	0.00780946107982624
290 	0.00783178636582701
291 	0.00800545654355425
292 	0.00832100070482307
293 	0.00829638647799882
294 	0.00851076375047443
295 	0.00898726185555602
296 	0.00968727808644668
297 	0.0105664820450253
298 	0.0115841457998167
299 	0.0114136266643393
300 	0.0103860246805322
301 	0.00949347162040044
302 	0.00877726368870701
303 	0.0082832706116522
304 	0.00805249314819006
305 	0.00796665405571457
306 	0.00765189175951967
307 	0.00758221620977376
308 	0.00776422837766161
309 	0.0081811470128335
310 	0.00879964630465806
311 	0.00958076553438967
312 	0.00893772702283771
313 	0.00828807316259044
314 	0.00788281399526703
315 	0.00776033269527416
316 	0.00793373669342145
317 	0.00838468840336838
318 	0.00845518647535696
319 	0.00823877651521347
320 	0.00825171049882589
321 	0.00849294068032154
322 	0.00894401387502917
323 	0.0095753200754959
324 	0.00999856633856915
325 	0.0092990250211308
326 	0.00875270059231532
327 	0.00838957881970656
328 	0.00823393354865537
329 	0.00829744866772478
330 	0.00857525573389125
331 	0.0080234781619988
332 	0.00752936266190936
333 	0.00724269621512076
