 	avma10
200 	0
201 	0
202 	0
203 	0.0506637378109126
204 	0.0537997687129194
205 	0.0569357996149262
206 	0.060071830516933
207 	0.0632078614189398
208 	0.0663438923209466
209 	0.0694312800472157
210 	0.0706215839197121
211 	0.0718118877922086
212 	0.0730021916647051
213 	0.0741924955372015
214 	0.075382799409698
215 	0.0765731032821945
216 	0.0759981107114628
217 	0.0742413420577019
218 	0.072484573403941
219 	0.0707278047501801
220 	0.0689710360964191
221 	0.0672142674426582
222 	0.0654794127306254
223 	0.0638457561090446
224 	0.0622120994874638
225 	0.060578442865883
226 	0.0589447862443022
227 	0.0573111296227214
228 	0.0556774730011406
229 	0.0538131532308574
230 	0.051877581493174
231 	0.0499420097554906
232 	0.0480064380178072
233 	0.0460708662801238
234 	0.0441352945424404
235 	0.0421463988186406
236 	0.040060194351815
237 	0.0379739898849893
238 	0.0358877854181636
239 	0.033801580951338
240 	0.0317153764845123
241 	0.0296291720176866
242 	0.0312877949849973
243 	0.0331393691029628
244 	0.0349909432209282
245 	0.0368425173388937
246 	0.0386940914568592
247 	0.0405456655748246
248 	0.041897754050685
249 	0.042846099159419
250 	0.0437944442681529
251 	0.0447427893768868
252 	0.0456911344856207
253 	0.0466394795943546
254 	0.0475581039998175
255 	0.0483218484671161
256 	0.0490855929344148
257 	0.0498493374017135
258 	0.0506130818690121
259 	0.0513768263363108
260 	0.0521405708036094
261 	0.051554762802009
262 	0.0505748994283528
263 	0.0495950360546966
264 	0.0486151726810404
265 	0.0476353093073842
266 	0.046655445933728
267 	0.0476340564171782
268 	0.0516375870819608
269 	0.0556411177467435
270 	0.0596446484115262
271 	0.0636481790763088
272 	0.0676517097410915
273 	0.0717222302836525
274 	0.0794474208250135
275 	0.0871726113663746
276 	0.0948978019077357
277 	0.102622992449097
278 	0.110348182990458
279 	0.118073373531819
280 	0.123528699976977
281 	0.127751013826667
282 	0.131973327676358
283 	0.136195641526048
284 	0.140417955375738
285 	0.144640269225428
286 	0.147595659956322
287 	0.14735697690884
288 	0.147118293861359
289 	0.146879610813877
290 	0.146640927766395
291 	0.146402244718914
292 	0.146163561671432
293 	0.149131708224506
294 	0.15235612409771
295 	0.155580539970915
296 	0.15880495584412
297 	0.162029371717324
298 	0.165253787590529
299 	0.164401825588582
300 	0.16052453784654
301 	0.156647250104499
302 	0.152769962362457
303 	0.148892674620415
304 	0.145015386878373
305 	0.140294947201043
306 	0.132703333752885
307 	0.125111720304727
308 	0.117520106856568
309 	0.10992849340841
310 	0.102336879960252
311 	0.0947452665120932
312 	0.0936470758708589
313 	0.0933843820693416
314 	0.0931216882678242
315 	0.0928589944663068
316 	0.0925963006647895
317 	0.0923336068632721
318 	0.0942140649033092
319 	0.097840938872308
320 	0.101467812841307
321 	0.105094686810306
322 	0.108721560779305
323 	0.112348434748304
324 	0.11506653226276
325 	0.114581295577723
326 	0.114096058892685
327 	0.113610822207647
328 	0.113125585522609
329 	0.112640348837571
330 	0.112155112152534
331 	0.111917270704448
332 	0.111707529828933
333 	0.111497788953418
334 	0.111288048077904
335 	0.111078307202389
336 	0.110868566326874
337 	0.110490559160769
338 	0.109990703991133
