 	avmm20
200 	0
201 	0
202 	0
203 	0.0716002220442239
204 	0.0739957778788641
205 	0.0763913337135044
206 	0.0787868895481446
207 	0.0811824453827848
208 	0.0835780012174251
209 	0.0859266748356618
210 	0.0877211766138465
211 	0.0895156783920312
212 	0.0913101801702158
213 	0.0931046819484005
214 	0.0948991837265852
215 	0.0966936855047699
216 	0.0957369685896809
217 	0.0931505488817609
218 	0.0905641291738409
219 	0.0879777094659209
220 	0.0853912897580009
221 	0.0828048700500809
222 	0.0803754596625226
223 	0.0786377389835848
224 	0.076900018304647
225 	0.0751622976257092
226 	0.0734245769467714
227 	0.0716868562678336
228 	0.0699491355888958
229 	0.0680567579283653
230 	0.0661119997908028
231 	0.0641672416532402
232 	0.0622224835156777
233 	0.0602777253781152
234 	0.0583329672405526
235 	0.0565100551620105
236 	0.0549521099102273
237 	0.053394164658444
238 	0.0518362194066607
239 	0.0502782741548774
240 	0.0487203289030941
241 	0.0471623836513108
242 	0.047947320407041
243 	0.0490247879871063
244 	0.0501022555671716
245 	0.0511797231472369
246 	0.0522571907273022
247 	0.0533346583073675
248 	0.0545125043285273
249 	0.0558039984354464
250 	0.0570954925423656
251 	0.0583869866492847
252 	0.0596784807562039
253 	0.060969974863123
254 	0.0622173560109165
255 	0.0627067963155508
256 	0.0631962366201852
257 	0.0636856769248196
258 	0.0641751172294539
259 	0.0646645575340883
260 	0.0651539978387226
261 	0.0659276721668303
262 	0.0668564231723507
263 	0.0677851741778712
264 	0.0687139251833916
265 	0.069642676188912
266 	0.0705714271944324
267 	0.0723413445997241
268 	0.0767034278492086
269 	0.081065511098693
270 	0.0854275943481775
271 	0.089789677597662
272 	0.0941517608471465
273 	0.098513844096631
274 	0.110582432028588
275 	0.124021670381103
276 	0.137460908733618
277 	0.150900147086133
278 	0.164339385438648
279 	0.177778623791163
280 	0.186628582863591
281 	0.190069391411994
282 	0.193510199960397
283 	0.1969510085088
284 	0.200391817057203
285 	0.203832625605606
286 	0.206740244710037
287 	0.20307186067215
288 	0.199403476634263
289 	0.195735092596376
290 	0.192066708558489
291 	0.188398324520602
292 	0.184729940482715
293 	0.183092559367247
294 	0.18233809630844
295 	0.181583633249632
296 	0.180829170190825
297 	0.180074707132018
298 	0.179320244073211
299 	0.17791630293616
300 	0.175163445790448
301 	0.172410588644737
302 	0.169657731499026
303 	0.166904874353314
304 	0.164152017207603
305 	0.161399160061892
306 	0.155324310186912
307 	0.149107435596707
308 	0.142890561006503
309 	0.136673686416299
310 	0.130456811826094
311 	0.12423993723589
312 	0.122274010796844
313 	0.123153877694382
314 	0.124033744591921
315 	0.124913611489459
316 	0.125793478386998
317 	0.126673345284536
318 	0.128165819627693
319 	0.13153596069441
320 	0.134906101761128
321 	0.138276242827845
322 	0.141646383894563
323 	0.14501652496128
324 	0.148386666027998
325 	0.148219868123178
326 	0.147651324366357
327 	0.147082780609536
328 	0.146514236852715
329 	0.145945693095895
330 	0.145377149339074
331 	0.146565882316789
332 	0.1491579082264
333 	0.151749934136011
334 	0.154341960045622
335 	0.156933985955233
336 	0.159526011864844
337 	0.16132803536758
338 	0.16032914124594
339 	0.159330247124299
