 	avmm10
200 	0
201 	0
202 	0
203 	0.0575593081917109
204 	0.0595302469654224
205 	0.061501185739134
206 	0.0634721245128455
207 	0.065443063286557
208 	0.0674140020602685
209 	0.0693480446937122
210 	0.0698431378567085
211 	0.0703382310197048
212 	0.0708333241827011
213 	0.0713284173456974
214 	0.0718235105086937
215 	0.07231860367169
216 	0.0715064816268551
217 	0.0698192455614184
218 	0.0681320094959818
219 	0.0664447734305452
220 	0.0647575373651086
221 	0.0630703012996719
222 	0.0613549287055223
223 	0.0595096222540574
224 	0.0576643158025925
225 	0.0558190093511276
226 	0.0539737028996628
227 	0.0521283964481979
228 	0.050283089996733
229 	0.048287504865558
230 	0.0462454985715407
231 	0.0442034922775233
232 	0.0421614859835059
233 	0.0401194796894886
234 	0.0380774733954712
235 	0.0365255642954638
236 	0.0358680133517571
237 	0.0352104624080505
238 	0.0345529114643438
239 	0.0338953605206371
240 	0.0332378095769304
241 	0.0325802586332237
242 	0.0332784610850321
243 	0.0340465183385022
244 	0.0348145755919723
245 	0.0355826328454424
246 	0.0363506900989125
247 	0.0371187473523826
248 	0.0379869980464434
249 	0.0389362369284681
250 	0.0398854758104928
251 	0.0408347146925174
252 	0.0417839535745421
253 	0.0427331924565668
254 	0.0437384669767266
255 	0.0450357533005847
256 	0.0463330396244428
257 	0.0476303259483009
258 	0.048927612272159
259 	0.0502248985960171
260 	0.0515221849198752
261 	0.0511394181987433
262 	0.0502660933533635
263 	0.0493927685079838
264 	0.0485194436626041
265 	0.0476461188172243
266 	0.0467727939718446
267 	0.0479505968165708
268 	0.0522964263989419
269 	0.056642255981313
270 	0.060988085563684
271 	0.0653339151460551
272 	0.0696797447284262
273 	0.0741639011036691
274 	0.0861945525122678
275 	0.0982252039208665
276 	0.110255855329465
277 	0.122286506738064
278 	0.134317158146663
279 	0.146347809555261
280 	0.153140521542879
281 	0.157087933104285
282 	0.161035344665692
283 	0.164982756227098
284 	0.168930167788504
285 	0.172877579349911
286 	0.174461391873769
287 	0.170086271612826
288 	0.165711151351882
289 	0.161336031090938
290 	0.156960910829994
291 	0.152585790569051
292 	0.148210670308107
293 	0.148727271253504
294 	0.149634787284505
295 	0.150542303315506
296 	0.151449819346507
297 	0.152357335377509
298 	0.15326485140851
299 	0.151608366025212
300 	0.148048980637573
301 	0.144489595249935
302 	0.140930209862296
303 	0.137370824474658
304 	0.13381143908702
305 	0.129835756294235
306 	0.124442461632827
307 	0.119049166971419
308 	0.113655872310011
309 	0.108262577648602
310 	0.102869282987194
311 	0.0974759883257859
312 	0.0973244293530222
313 	0.0978473149271043
314 	0.0983702005011863
315 	0.0988930860752684
316 	0.0994159716493505
317 	0.0999388572234325
318 	0.102038904404203
319 	0.105424152240878
320 	0.108809400077553
321 	0.112194647914227
322 	0.115579895750902
323 	0.118965143587577
324 	0.121580519357511
325 	0.121482183181786
326 	0.12138384700606
327 	0.121285510830335
328 	0.121187174654609
329 	0.121088838478883
330 	0.120990502303158
331 	0.123023877372535
332 	0.125299384454162
333 	0.127574891535789
334 	0.129850398617416
335 	0.132125905699043
336 	0.134401412780671
337 	0.134809712735674
338 	0.13386589718519
