 	sdca20
200 	0
201 	0
202 	0
203 	0.0095358359085362
204 	0.00968639751838896
205 	0.00987572662186544
206 	0.0101016436658218
207 	0.0103617557493169
208 	0.0106535584985305
209 	0.0108835598656607
210 	0.0101412973525145
211 	0.00947075066438133
212 	0.00888816594206613
213 	0.00841183921580726
214 	0.00806062985650285
215 	0.00785134624676311
216 	0.00789141832293094
217 	0.00817253464959078
218 	0.00863041995697482
219 	0.00923882899790078
220 	0.00997024375102592
221 	0.0107997012107283
222 	0.0115481232848101
223 	0.0117938250651982
224 	0.0121438019465282
225 	0.0125893605693531
226 	0.01312076717096
227 	0.0137280559637765
228 	0.0144016307311115
229 	0.0141076244219338
230 	0.0135786657945558
231 	0.0131036525830081
232 	0.012688644750254
233 	0.0123396980719206
234 	0.0120625469839587
235 	0.011602935549239
236 	0.0107887511273587
237 	0.0101089268455214
238 	0.00959207311272451
239 	0.009265502942816
240 	0.00914961400926519
241 	0.00925232629155943
242 	0.00950699439004862
243 	0.0098940030485035
244 	0.0104000680654675
245 	0.0110087828873176
246 	0.0117041424720061
247 	0.0124716625516053
248 	0.0120915468930226
249 	0.0107317990321214
250 	0.00946595331981376
251 	0.00833689340385977
252 	0.0074074333334242
253 	0.0067604070246031
254 	0.00641604472518776
255 	0.00612547807973149
256 	0.00640243121425661
257 	0.00718154309042693
258 	0.00832296754916089
259 	0.00969962929433217
260 	0.0112253115782549
261 	0.0105712144809597
262 	0.00918794053114729
263 	0.0079492559396491
264 	0.00693309685298677
265 	0.006248978887822
266 	0.00601135471393064
267 	0.00619581242523157
268 	0.00686994240489647
269 	0.00809173849109608
270 	0.00965548865121426
271 	0.0114215934309937
272 	0.0133097422227428
273 	0.0152747433920362
274 	0.0141915581175939
275 	0.0130853348779142
276 	0.0121330973714197
277 	0.0113735882937895
278 	0.0108473667506904
279 	0.010589268910856
280 	0.0100597718057613
281 	0.00927383770985787
282 	0.0086363601333582
283 	0.00818211221120932
284 	0.00794259387858067
285 	0.00793726830860584
286 	0.00806323927244561
287 	0.00797380368401249
288 	0.00806183150799129
289 	0.00832169296362941
290 	0.00873807099674781
291 	0.00928994403390566
292 	0.00995480286131279
293 	0.00979822479555395
294 	0.00956856346602409
295 	0.00946039891088141
296 	0.00947789171668648
297 	0.00962035645514317
298 	0.009882389809421
299 	0.00987117807164697
300 	0.00952293261291298
301 	0.00927776933364941
302 	0.00914398333862958
303 	0.0091264740188241
304 	0.00922590342274477
305 	0.00944360073740636
306 	0.00984752630833265
307 	0.010411788248864
308 	0.0111119879105936
309 	0.0119242021431747
310 	0.012827170335562
311 	0.013803093186814
312 	0.0131058266277082
313 	0.012029329626324
314 	0.0111799926279632
315 	0.0106124965631663
316 	0.0103732018048656
317 	0.0104846045373712
318 	0.0102676697514093
319 	0.00935338031211085
320 	0.00869689894755503
321 	0.00835918813324645
322 	0.00837888107637625
323 	0.00875356594989306
324 	0.00937423343453903
325 	0.00940099223354472
326 	0.00957575203624186
327 	0.00989067079315126
328 	0.0103329414985223
329 	0.0108870547385303
330 	0.0115369064892678
331 	0.0112670283114205
332 	0.0107659868907733
333 	0.010399069482988
334 	0.0101807879905967
