 	sdcm20
200 	0
201 	0
202 	0
203 	0.00537132225083055
204 	0.00494729570132425
205 	0.00468837036620335
206 	0.004622374771189
207 	0.00475734487505727
208 	0.00507727898538392
209 	0.00544825445024639
210 	0.00481470286280275
211 	0.00451363408624205
212 	0.00461064676339934
213 	0.00508299875999958
214 	0.00584031943616301
215 	0.00678788831254928
216 	0.00641943429386583
217 	0.00532325343106275
218 	0.00444103297272258
219 	0.00391999706297392
220 	0.00390740788990173
221 	0.00440762432585125
222 	0.00504755503193977
223 	0.00494743635444795
224 	0.00512276577212571
225 	0.00554748770388083
226 	0.00617031591470421
227 	0.00693810241663324
228 	0.00780820208460492
229 	0.00789774831721269
230 	0.0078222830246657
231 	0.00788258902157193
232 	0.0080756252003876
233 	0.00839223747282929
234 	0.00881912648467415
235 	0.00879209984840668
236 	0.00769136197281689
237 	0.00677945235429472
238 	0.0061410744520913
239 	0.00586621791300172
240 	0.00600500838918929
241 	0.00653112814759923
242 	0.00584612495969347
243 	0.00519706663370008
244 	0.00485651141487628
245 	0.00488935390695597
246 	0.00528864227463391
247 	0.00598143541029755
248 	0.00603780670276261
249 	0.0052545867184329
250 	0.00460554879199445
251 	0.00415407078197465
252 	0.00396816768045068
253 	0.00408426636141608
254 	0.00441558253193227
255 	0.00384722410669868
256 	0.00346844033413248
257 	0.00334427931984249
258 	0.00350192957956478
259 	0.00390742858984665
260 	0.00449418139183174
261 	0.00438663439007159
262 	0.00404379274656502
263 	0.00398418308479512
264 	0.0042198254110977
265 	0.00470657993856545
266 	0.00537667364706565
267 	0.00571267746360449
268 	0.00481780550745043
269 	0.00425955279921188
270 	0.00417520110032284
271 	0.0045909467916988
272 	0.00539233295499184
273 	0.00643690072845479
274 	0.00601127160432586
275 	0.00547031055268811
276 	0.00515796398899479
277 	0.0051162751301824
278 	0.00535157300526849
279 	0.00583041849104794
280 	0.00581571480931025
281 	0.00524224233615864
282 	0.00502084096330972
283 	0.00519670631715274
284 	0.00573339710945204
285 	0.00654271362529815
286 	0.00742251594913969
287 	0.00703368200377325
288 	0.00681539184396115
289 	0.0067841280489698
290 	0.00694241778665499
291 	0.00727790354468004
292 	0.00776765982960293
293 	0.00800135327661025
294 	0.0082589106408359
295 	0.00870313533728334
296 	0.00930733761257182
297 	0.0100426844608045
298 	0.0108826236695818
299 	0.0112973053902784
300 	0.0107430515612193
301 	0.0102921615918732
302 	0.00995868511601064
303 	0.00975467138692448
304 	0.00968830243718287
305 	0.00976238597793457
306 	0.00917376093835341
307 	0.00862831816168161
308 	0.00817408412268855
309 	0.00782695474567291
310 	0.00760161708699357
311 	0.00750904364644206
312 	0.0074046920733055
313 	0.00746329262677499
314 	0.0078076174352277
315 	0.00840261413171316
316 	0.00919977388459393
317 	0.0101515829237831
318 	0.0106804508496532
319 	0.00964165523809446
320 	0.00869613451395978
321 	0.00787754718270109
322 	0.00722914228125803
323 	0.006799779482149
324 	0.0066321382875531
325 	0.006207282245115
326 	0.00589157519346396
327 	0.00576595024826606
328 	0.00584268130965899
329 	0.00611415457136284
330 	0.00655622345365952
331 	0.00650704738202555
332 	0.00607006138894631
333 	0.00576758474512968
