 	sdma10
200 	0
201 	0
202 	0
203 	0.00755886686432234
204 	0.00669843938176484
205 	0.00622387221063003
206 	0.00622406247572871
207 	0.00669896972479669
208 	0.00755965014469307
209 	0.0086412086572592
210 	0.00787124635675132
211 	0.00719316191728553
212 	0.00663518383597164
213 	0.00622966914974048
214 	0.00600757171430802
215 	0.00598933093918811
216 	0.00582546976583245
217 	0.0055996296282685
218 	0.0055563858029617
219 	0.00569989575741029
220 	0.00601681122653443
221 	0.00648174669842745
222 	0.00683632184031859
223 	0.00630215799047988
224 	0.00602383220395191
225 	0.0060368347300231
226 	0.00633937321394664
227 	0.00689343107499027
228 	0.00764451380255311
229 	0.0074695256601041
230 	0.00728160672088419
231 	0.00745871733264109
232 	0.00797657928054363
233 	0.0087750700709053
234 	0.00978573336238734
235 	0.010030179175287
236 	0.00872136587379136
237 	0.00758695591257739
238 	0.00671591588935888
239 	0.00621989560564986
240 	0.00618971932773298
241 	0.00663174926137361
242 	0.00591419141637656
243 	0.00545892069497014
244 	0.00542999528282316
245 	0.00583376044777876
246 	0.00659117225732506
247 	0.00759718507491247
248 	0.0075497821665883
249 	0.00662722523215761
250 	0.00584726316614254
251 	0.00527354980369742
252 	0.00497791495222608
253 	0.00500983190862567
254 	0.0050952557333528
255 	0.00402309213881362
256 	0.0032925727583051
257 	0.0031510198384509
258 	0.00366727996178624
259 	0.00462613059220728
260 	0.00581251682461416
261 	0.00544279347195809
262 	0.00500250525185687
263 	0.00512579402315549
264 	0.00577668741557588
265 	0.00680544768426179
266 	0.00806881443742949
267 	0.00847256153096555
268 	0.00755828735097127
269 	0.00700857565436026
270 	0.00691097489252525
271 	0.00728368254844493
272 	0.00806173090639424
273 	0.00910744423811546
274 	0.0084657430243266
275 	0.00803444824878431
276 	0.007848324768749
277 	0.00792466617555791
278 	0.00825619498420496
279 	0.00881416283859662
280 	0.00877491090973864
281 	0.00847480949941315
282 	0.00835400555850345
283 	0.00842021970819881
284 	0.00866916773628489
285 	0.0090858415564006
286 	0.00936941187840211
287 	0.00916948749283759
288 	0.00924884647336475
289 	0.0096005655857789
290 	0.0101964992187621
291 	0.0109970164745714
292 	0.0119611113462829
293 	0.0111016151093019
294 	0.0102197787378469
295 	0.00950859797480232
296 	0.00900858102159717
297 	0.00875597893895055
298 	0.00877219134061776
299 	0.00856847187408179
300 	0.00820507634244715
301 	0.00804854250974488
302 	0.00811085608886536
303 	0.0083871406137448
304 	0.00885739578389157
305 	0.00929382117258628
306 	0.00915074793315471
307 	0.00907740761202805
308 	0.00907549093131173
309 	0.00914504279948353
310 	0.00928445719657842
311 	0.00949065585386254
312 	0.00923166013176898
313 	0.00906423476641643
314 	0.00907081688490416
315 	0.00925103507531688
316 	0.00959511046922101
317 	0.0100862879105693
318 	0.0102340344826179
319 	0.0101452651719522
320 	0.010214662152825
321 	0.0104390715225446
322 	0.0108088426521326
323 	0.0113097267240918
324 	0.011574454187381
325 	0.010750205684561
326 	0.0101310325394559
327 	0.00975605883034836
328 	0.0096537823166612
329 	0.00983271618955318
330 	0.0102781840731561
331 	0.00995119530548285
332 	0.00968689773466491
333 	0.00961101384205174
