 	avc0
200 	0
201 	0
202 	0
203 	0.0456399143523004
204 	0.0444626861002941
205 	0.0432854578482878
206 	0.0421082295962815
207 	0.0409310013442752
208 	0.0397537730922689
209 	0.0387353736997
210 	0.0395944128763793
211 	0.0404534520530585
212 	0.0413124912297378
213 	0.042171530406417
214 	0.0430305695830963
215 	0.0438896087597756
216 	0.0439085237703819
217 	0.0434297856125501
218 	0.0429510474547183
219 	0.0424723092968864
220 	0.0419935711390546
221 	0.0415148329812228
222 	0.0409804226152558
223 	0.0402007536026394
224 	0.0394210845900229
225 	0.0386414155774064
226 	0.0378617465647899
227 	0.0370820775521734
228 	0.036302408539557
229 	0.0364781450014113
230 	0.0369774659144586
231 	0.0374767868275059
232 	0.0379761077405532
233 	0.0384754286536005
234 	0.0389747495666478
235 	0.0391163452394569
236 	0.0384800304692085
237 	0.03784371569896
238 	0.0372074009287116
239 	0.0365710861584632
240 	0.0359347713882147
241 	0.0352984566179663
242 	0.036296432919587
243 	0.0374984658117335
244 	0.0387004987038799
245 	0.0399025315960264
246 	0.0411045644881729
247 	0.0423065973803194
248 	0.0434529640520745
249 	0.0445363056427469
250 	0.0456196472334192
251 	0.0467029888240916
252 	0.0477863304147639
253 	0.0488696720054362
254 	0.0499645927246505
255 	0.0512584639251765
256 	0.0525523351257025
257 	0.0538462063262285
258 	0.0551400775267544
259 	0.0564339487272804
260 	0.0577278199278064
261 	0.0573361182862674
262 	0.0560247764387795
263 	0.0547134345912915
264 	0.0534020927438036
265 	0.0520907508963157
266 	0.0507794090488278
267 	0.049158100945188
268 	0.0465815907052436
269 	0.0440050804652993
270 	0.0414285702253549
271 	0.0388520599854105
272 	0.0362755497454661
273 	0.0336990395055218
274 	0.032796156306765
275 	0.0321909382236966
276 	0.0315857201406281
277 	0.0309805020575596
278 	0.0303752839744912
279 	0.0297700658914227
280 	0.0313453979339303
281 	0.0354908337192191
282 	0.039636269504508
283 	0.0437817052897969
284 	0.0479271410750857
285 	0.0520725768603746
286 	0.0565153924196752
287 	0.0646258918584553
288 	0.0727363912972354
289 	0.0808468907360155
290 	0.0889573901747955
291 	0.0970678896135756
292 	0.105178389052356
293 	0.112790487019459
294 	0.120185919784384
295 	0.12758135254931
296 	0.134976785314235
297 	0.14237221807916
298 	0.149767650844085
299 	0.155796853373191
300 	0.158988500797132
301 	0.162180148221073
302 	0.165371795645014
303 	0.168563443068955
304 	0.171755090492896
305 	0.174946737916837
306 	0.171574584096876
307 	0.167921808951577
308 	0.164269033806278
309 	0.160616258660978
310 	0.156963483515679
311 	0.153310708370379
312 	0.149939224091015
313 	0.14675604972357
314 	0.143572875356124
315 	0.140389700988679
316 	0.137206526621234
317 	0.134023352253789
318 	0.131918374998459
319 	0.133118115720915
320 	0.13431785644337
321 	0.135517597165825
322 	0.136717337888281
323 	0.137917078610736
324 	0.139116819333191
325 	0.138251812029716
326 	0.137152278781202
327 	0.136052745532688
328 	0.134953212284174
329 	0.13385367903566
330 	0.132754145787145
331 	0.128005502481747
332 	0.120342821648907
333 	0.112680140816068
334 	0.105017459983228
335 	0.0973547791503891
336 	0.0896920983175497
337 	0.0830070692278576
