 	sdmm10
200 	0
201 	0
202 	0
203 	0.00742787528579884
204 	0.00698296936752271
205 	0.00662424502333177
206 	0.00636628730780407
207 	0.00622164263333042
208 	0.00619824903043095
209 	0.00628839595428885
210 	0.00616936907377581
211 	0.00622191169577288
212 	0.00644182697862324
213 	0.00681292622784292
214 	0.00731222757034617
215 	0.00791550753811911
216 	0.00770438632242687
217 	0.00715276146635442
218 	0.00696745269576476
219 	0.00717689139005624
220 	0.00774913643352572
221 	0.0086121677520771
222 	0.00925415889996747
223 	0.00812896971974291
224 	0.00738017522275302
225 	0.00712740975305678
226 	0.00742152943218518
227 	0.00820392432272529
228 	0.00935284958334127
229 	0.00959222890521377
230 	0.00959401038163251
231 	0.00970424264667168
232 	0.0099193107521564
233 	0.010232606537924
234 	0.0106354528644454
235 	0.0104740495014677
236 	0.00927098574712178
237 	0.00828425425068875
238 	0.00759860436260206
239 	0.00729937915382096
240 	0.00743339167578959
241 	0.00797884174443513
242 	0.00743103069351536
243 	0.0069596557787484
244 	0.00666494108973529
245 	0.00657070092767089
246 	0.00668541856673354
247 	0.0069988264676468
248 	0.00676057778630794
249 	0.00617778113299741
250 	0.00592428736298528
251 	0.00604168975541985
252 	0.00650995259212947
253 	0.00726151387193546
254 	0.00790972273804121
255 	0.00712198342813323
256 	0.0065645680376683
257 	0.00629892296384088
258 	0.00636170408776464
259 	0.00674374515449793
260 	0.00739573457676796
261 	0.0069670925444448
262 	0.0065453824512875
263 	0.00660087291631574
264 	0.00712241911109161
265 	0.00801960246169969
266 	0.00918297512826429
267 	0.00949094005072963
268 	0.00850505802769126
269 	0.0079965264427265
270 	0.00805625299571889
271 	0.00867250503602113
272 	0.0097402170897558
273 	0.0110986921744077
274 	0.0109114272689863
275 	0.010830758554489
276 	0.0108590619042363
277 	0.0109954958400963
278 	0.0112361221448618
279 	0.0115744443362985
280 	0.0111545314928684
281 	0.0104148000422197
282 	0.00985730225728288
283 	0.00951412720334529
284 	0.0094087558087891
285 	0.00954906362296311
286 	0.00966282817417348
287 	0.00933561590650693
288 	0.00924082288644737
289 	0.0093854940263256
290 	0.00975898539051767
291 	0.0103365226658253
292 	0.0110862623559315
293 	0.0107545818161902
294 	0.0104322588285525
295 	0.0102257860463614
296 	0.0101422412730752
297 	0.0101846500966819
298 	0.0103514645783907
299 	0.00981450391079445
300 	0.00890437273857139
301 	0.00833836528530504
302 	0.00818815805332922
303 	0.00847588602405513
304 	0.00916037501364432
305 	0.00973564481931193
306 	0.0090358060952597
307 	0.00847667272790583
308 	0.00808748083660579
309 	0.00789340794780443
310 	0.0079088310628064
311 	0.00813255836321596
312 	0.00712352338028952
313 	0.00633073609665495
314 	0.00610487692178146
315 	0.00650526659433425
316 	0.00743136146512023
317 	0.00871719229544915
318 	0.00881202871154085
319 	0.00794014252004537
320 	0.00731545357184378
321 	0.00700441597726238
322 	0.00704867433641337
323 	0.00744189230751518
324 	0.00783759196303153
325 	0.00745812521504947
326 	0.0073802187816063
327 	0.00761313604252737
328 	0.00813020695531926
329 	0.00888194255032374
330 	0.00981456852820431
331 	0.00916320950463007
332 	0.00847082490585224
333 	0.00797360662430235
