 	avcm10
200 	0
201 	0
202 	0
203 	0.0662952151637919
204 	0.0645368646988513
205 	0.0627785142339108
206 	0.0610201637689702
207 	0.0592618133040296
208 	0.0575034628390891
209 	0.055878242549312
210 	0.0557434308058778
211 	0.0556086190624436
212 	0.0554738073190093
213 	0.0553389955755751
214 	0.0552041838321409
215 	0.0550693720887067
216 	0.0538885897688242
217 	0.0521270741739929
218 	0.0503655585791617
219 	0.0486040429843305
220 	0.0468425273894992
221 	0.045081011794668
222 	0.0436656390449979
223 	0.0435524227128387
224 	0.0434392063806796
225 	0.0433259900485204
226 	0.0432127737163612
227 	0.0430995573842021
228 	0.0429863410520429
229 	0.0424887821432692
230 	0.0418847068371451
231 	0.041280631531021
232 	0.040676556224897
233 	0.0400724809187729
234 	0.0394684056126488
235 	0.0390768794969565
236 	0.039059956650589
237 	0.0390430338042214
238 	0.0390261109578538
239 	0.0390091881114862
240 	0.0389922652651186
241 	0.038975342418751
242 	0.0406159522125769
243 	0.0423511780344899
244 	0.0440864038564028
245 	0.0458216296783158
246 	0.0475568555002288
247 	0.0492920813221418
248 	0.0511985187962586
249 	0.0532531693424324
250 	0.0553078198886062
251 	0.05736247043478
252 	0.0594171209809537
253 	0.0614717715271275
254 	0.0634302281435233
255 	0.0647561367974395
256 	0.0660820454513558
257 	0.067407954105272
258 	0.0687338627591882
259 	0.0700597714131044
260 	0.0713856800670206
261 	0.0706595200917664
262 	0.0691896949184747
263 	0.0677198697451831
264 	0.0662500445718915
265 	0.0647802193985999
266 	0.0633103942253083
267 	0.0614374685443951
268 	0.0587889869160696
269 	0.0561405052877442
270 	0.0534920236594188
271 	0.0508435420310933
272 	0.0481950604027679
273 	0.0455465787744425
274 	0.0441161782075353
275 	0.0427418399488942
276 	0.0413675016902532
277 	0.0399931634316121
278 	0.0386188251729711
279 	0.03724448691433
280 	0.0389886734711781
281 	0.0430378566307791
282 	0.0470870397903801
283 	0.0511362229499812
284 	0.0551854061095822
285 	0.0592345892691832
286 	0.0640858802151932
287 	0.0721256493768284
288 	0.0801654185384636
289 	0.0882051877000988
290 	0.096244956861734
291 	0.104284726023369
292 	0.112324495185004
293 	0.120201250211824
294 	0.12804508892296
295 	0.135888927634096
296 	0.143732766345232
297 	0.151576605056368
298 	0.159420443767504
299 	0.166007950818175
300 	0.17117304398461
301 	0.176338137151045
302 	0.181503230317479
303 	0.186668323483914
304 	0.191833416650348
305 	0.195811197086734
306 	0.190375283734882
307 	0.184939370383029
308 	0.179503457031177
309 	0.174067543679324
310 	0.168631630327471
311 	0.163195716975619
312 	0.156160081099298
313 	0.148622035652219
314 	0.141083990205139
315 	0.133545944758059
316 	0.12600789931098
317 	0.1184698538639
318 	0.115888091045104
319 	0.120264186531399
320 	0.124640282017695
321 	0.12901637750399
322 	0.133392472990285
323 	0.13776856847658
324 	0.141949936266691
325 	0.143797100633715
326 	0.14564426500074
327 	0.147491429367764
328 	0.149338593734788
329 	0.151185758101812
330 	0.153032922468837
331 	0.148065597220275
332 	0.140753501351297
333 	0.133441405482318
334 	0.12612930961334
335 	0.118817213744362
336 	0.111505117875384
337 	0.10602070302216
338 	0.103091535248517
