 	sdma15
200 	0
201 	0
202 	0
203 	0.011291413949635
204 	0.0101517817159052
205 	0.00929714596544928
206 	0.00881083323349498
207 	0.00875444170145401
208 	0.00913593590224679
209 	0.00987043751042233
210 	0.00951401455341018
211 	0.00933995380236578
212 	0.00935843624600986
213 	0.00956834618643227
214 	0.00995758486525083
215 	0.0105062396596694
216 	0.0101515763809918
217 	0.0092090320903386
218 	0.00840006391446637
219 	0.00776652484691917
220 	0.00735389524897957
221 	0.0072002552157944
222 	0.00723727197658381
223 	0.00710339095179225
224 	0.00715829496168642
225 	0.00739778189030664
226 	0.00780487882213011
227 	0.00835512156424213
228 	0.00902235809929617
229 	0.00866182272101723
230 	0.00806474018450489
231 	0.00760507892189312
232 	0.00730881292306045
233 	0.00719615154452609
234 	0.0072756290127172
235 	0.00716768099993153
236 	0.00671837879743463
237 	0.00674274284856028
238 	0.0072359901385197
239 	0.00811304690943236
240 	0.00926555512268411
241 	0.0106040793101192
242 	0.00994891755656364
243 	0.00925672670053307
244 	0.00865256158778456
245 	0.00815600754128078
246 	0.00778767617183933
247 	0.00756631650556732
248 	0.00749519682846465
249 	0.00754137026719293
250 	0.00769937294672562
251 	0.00796255048932392
252 	0.00832092933954426
253 	0.00876283676150241
254 	0.0090884169287113
255 	0.00859191996331999
256 	0.00834579012285925
257 	0.00837213799612989
258 	0.00866847934821192
259 	0.00920878556201737
260 	0.00995340577776124
261 	0.00971193088422677
262 	0.00939770076790241
263 	0.00938542340180636
264 	0.00967624822048403
265 	0.010244393652275
266 	0.0110471551752579
267 	0.0110109820283577
268 	0.00967962847088176
269 	0.00881503923418146
270 	0.00855983956195306
271 	0.00896621532269662
272 	0.009953462129325
273 	0.0113340725393365
274 	0.0109168511837528
275 	0.010645068773997
276 	0.0105299928125191
277 	0.0105767394812362
278 	0.0107832044156566
279 	0.0111405110690393
280 	0.010230497887997
281 	0.00875733802063155
282 	0.00760817980856415
283 	0.00694574541801271
284 	0.00691143309631241
285 	0.00751385281319225
286 	0.00816695531731733
287 	0.0079433484082827
288 	0.0079197285034381
289 	0.00809784576621866
290 	0.00846497509690693
291 	0.00899801042350677
292 	0.00966955379654674
293 	0.00969610840423897
294 	0.0099515957962148
295 	0.0104820825479746
296 	0.0112487290455721
297 	0.0122071213103527
298 	0.0133159217171575
299 	0.01313620314979
300 	0.0120790711300263
301 	0.0112473258082947
302 	0.0106936882605414
303 	0.0104624018127466
304 	0.0105746388624433
305 	0.0107076750799746
306 	0.00997419998798452
307 	0.00938397936378128
308 	0.00896535083067004
309 	0.00874299753240725
310 	0.00873192646006156
311 	0.00893292320988644
312 	0.00900527349274546
313 	0.00932459938494889
314 	0.00991080229173072
315 	0.0107201910340768
316 	0.0117065637534576
317 	0.0128291628482054
318 	0.0129870408856605
319 	0.0124608117018229
320 	0.012171465589451
321 	0.0121359577267937
322 	0.0123564766144032
323 	0.0128198169925508
324 	0.0131370702877091
325 	0.0123212611931525
326 	0.0116409864443342
327 	0.0111211456139225
328 	0.0107849627026048
329 	0.0106498444865966
330 	0.0107233941008629
331 	0.0103050755265764
332 	0.00994154851016305
333 	0.00972231875575655
