 	avm0
200 	0
201 	0
202 	0
203 	0.0501986738198294
204 	0.0520764459559317
205 	0.0539542180920341
206 	0.0558319902281364
207 	0.0577097623642388
208 	0.0595875345003411
209 	0.0614373070713763
210 	0.0621950966047936
211 	0.0629528861382109
212 	0.0637106756716282
213 	0.0644684652050455
214 	0.0652262547384628
215 	0.0659840442718801
216 	0.0653690540562865
217 	0.0638350576981999
218 	0.0623010613401133
219 	0.0607670649820267
220 	0.0592330686239401
221 	0.0576990722658535
222 	0.0562451118492849
223 	0.0551607556120859
224 	0.0540763993748869
225 	0.052992043137688
226 	0.051907686900489
227 	0.05082333066329
228 	0.049738974426091
229 	0.0478972037748254
230 	0.0458214674145025
231 	0.0437457310541796
232 	0.0416699946938566
233 	0.0395942583335337
234 	0.0375185219732108
235 	0.0357577078402826
236 	0.0345715822918092
237 	0.0333854567433358
238 	0.0321993311948624
239 	0.0310132056463889
240 	0.0298270800979155
241 	0.0286409545494421
242 	0.0295888488345546
243 	0.0306466978744997
244 	0.0317045469144448
245 	0.0327623959543899
246 	0.0338202449943351
247 	0.0348780940342802
248 	0.0359981163391053
249 	0.0371683944294664
250 	0.0383386725198275
251 	0.0395089506101886
252 	0.0406792287005497
253 	0.0418495067909108
254 	0.0430491722693751
255 	0.0444019807206252
256 	0.0457547891718753
257 	0.0471075976231254
258 	0.0484604060743755
259 	0.0498132145256256
260 	0.0511660229768757
261 	0.0511638256070329
262 	0.0507659805426591
263 	0.0503681354782853
264 	0.0499702904139115
265 	0.0495724453495377
266 	0.0491746002851639
267 	0.050360946343282
268 	0.0539941219468269
269 	0.0576272975503718
270 	0.0612604731539168
271 	0.0648936487574617
272 	0.0685268243610066
273 	0.0723001367177401
274 	0.0837186874984407
275 	0.0951372382791414
276 	0.106555789059842
277 	0.117974339840543
278 	0.129392890621243
279 	0.140811441401944
280 	0.147963215302574
281 	0.152797233860944
282 	0.157631252419314
283 	0.162465270977684
284 	0.167299289536055
285 	0.172133308094425
286 	0.173927787614904
287 	0.168059203927178
288 	0.162190620239452
289 	0.156322036551726
290 	0.150453452864
291 	0.144584869176274
292 	0.138716285488548
293 	0.13857710323159
294 	0.138895778108408
295 	0.139214452985226
296 	0.139533127862044
297 	0.139851802738862
298 	0.14017047761568
299 	0.138756581913624
300 	0.136056841147803
301 	0.133357100381983
302 	0.130657359616162
303 	0.127957618850342
304 	0.125257878084521
305 	0.121924664561221
306 	0.116434294907825
307 	0.110943925254429
308 	0.105453555601034
309 	0.0999631859476376
310 	0.0944728162942416
311 	0.0889824466408457
312 	0.0887533744445736
313 	0.08920126377213
314 	0.0896491530996864
315 	0.0900970424272428
316 	0.0905449317547992
317 	0.0909928210823556
318 	0.0923379775160853
319 	0.0944143007931397
320 	0.096490624070194
321 	0.0985669473472483
322 	0.100643270624303
323 	0.102719593901357
324 	0.104001900644567
325 	0.10248538892685
326 	0.100968877209134
327 	0.0994523654914173
328 	0.0979358537737007
329 	0.0964193420559842
330 	0.0949028303382677
331 	0.095867527806375
332 	0.0971140552710903
333 	0.0983605827358055
334 	0.0996071102005208
335 	0.100853637665236
336 	0.102100165129951
337 	0.101800385379454
