 	avca10
200 	0
201 	0
202 	0
203 	0.0567748170890824
204 	0.0556665867785253
205 	0.0545583564679682
206 	0.0534501261574111
207 	0.0523418958468539
208 	0.0512336655362968
209 	0.0501748753459757
210 	0.0508613404487672
211 	0.0515478055515588
212 	0.0522342706543504
213 	0.0529207357571419
214 	0.0536072008599335
215 	0.054293665962725
216 	0.0530574886571003
217 	0.0505365143574506
218 	0.0480155400578008
219 	0.0454945657581511
220 	0.0429735914585013
221 	0.0404526171588516
222 	0.0382988800219894
223 	0.0378334215409026
224 	0.0373679630598159
225 	0.0369025045787291
226 	0.0364370460976424
227 	0.0359715876165556
228 	0.0355061291354688
229 	0.035046851434319
230 	0.0345924210372829
231 	0.0341379906402467
232 	0.0336835602432105
233 	0.0332291298461744
234 	0.0327746994491382
235 	0.0326635541180999
236 	0.0331762564358973
237 	0.0336889587536948
238 	0.0342016610714922
239 	0.0347143633892897
240 	0.0352270657070871
241 	0.0357397680248845
242 	0.037700396953573
243 	0.0397360902478706
244 	0.0417717835421682
245 	0.0438074768364659
246 	0.0458431701307635
247 	0.0478788634250611
248 	0.0503032193892548
249 	0.0530456933256016
250 	0.0557881672619484
251 	0.0585306411982952
252 	0.061273115134642
253 	0.0640155890709889
254 	0.066321481529317
255 	0.0663028305150531
256 	0.0662841795007893
257 	0.0662655284865254
258 	0.0662468774722616
259 	0.0662282264579978
260 	0.0662095754437339
261 	0.0653782267298706
262 	0.0643255763219475
263 	0.0632729259140243
264 	0.0622202755061011
265 	0.0611676250981779
266 	0.0601149746902548
267 	0.0578235290010908
268 	0.0535142627943713
269 	0.0492049965876518
270 	0.0448957303809323
271 	0.0405864641742128
272 	0.0362771979674933
273 	0.0320324210878529
274 	0.031895704048089
275 	0.0317861330188283
276 	0.0316765619895676
277 	0.031566990960307
278 	0.0314574199310463
279 	0.0313478489017856
280 	0.0344675270203647
281 	0.0393584713591581
282 	0.0442494156979515
283 	0.0491403600367449
284 	0.0540313043755383
285 	0.0589222487143317
286 	0.0645753148442433
287 	0.0722025285716931
288 	0.0798297422991429
289 	0.0874569560265927
290 	0.0950841697540425
291 	0.102711383481492
292 	0.110338597208942
293 	0.115773286159342
294 	0.121010976551393
295 	0.126248666943444
296 	0.131486357335495
297 	0.136724047727546
298 	0.141961738119596
299 	0.14537616565191
300 	0.14743800651192
301 	0.14949984737193
302 	0.15156168823194
303 	0.15362352909195
304 	0.15568536995196
305 	0.156367385780706
306 	0.152045372282877
307 	0.147723358785049
308 	0.14340134528722
309 	0.139079331789392
310 	0.134757318291563
311 	0.130435304793735
312 	0.125845947942746
313 	0.121266915863649
314 	0.116687883784552
315 	0.112108851705455
316 	0.107529819626357
317 	0.10295078754726
318 	0.103062791874958
319 	0.107069711843621
320 	0.111076631812284
321 	0.115083551780947
322 	0.119090471749609
323 	0.123097391718272
324 	0.126639465628394
325 	0.128421192981387
326 	0.13020292033438
327 	0.131984647687374
328 	0.133766375040367
329 	0.13554810239336
330 	0.137329829746353
331 	0.130457556815838
332 	0.122564786660306
333 	0.114672016504774
334 	0.106779246349242
335 	0.0988864761937099
336 	0.090993706038178
337 	0.0856706011792351
