 	avca20
200 	0
201 	0
202 	0
203 	0.0484776544845848
204 	0.0474976254327155
205 	0.0465175963808462
206 	0.0455375673289769
207 	0.0445575382771077
208 	0.0435775092252384
209 	0.0427091352347661
210 	0.0430907532731041
211 	0.0434723713114422
212 	0.0438539893497802
213 	0.0442356073881183
214 	0.0446172254264563
215 	0.0449988434647943
216 	0.0440086076622749
217 	0.0422567049527787
218 	0.0405048022432824
219 	0.0387528995337861
220 	0.0370009968242899
221 	0.0352490941147936
222 	0.0336979777004479
223 	0.0329022002059542
224 	0.0321064227114604
225 	0.0313106452169667
226 	0.0305148677224729
227 	0.0297190902279792
228 	0.0289233127334854
229 	0.0281852600761523
230 	0.0274632052344818
231 	0.0267411503928112
232 	0.0260190955511407
233 	0.0252970407094702
234 	0.0245749858677997
235 	0.0242924304890943
236 	0.0247844625616921
237 	0.02527649463429
238 	0.0257685267068879
239 	0.0262605587794857
240 	0.0267525908520836
241 	0.0272446229246814
242 	0.0292724019429229
243 	0.0313878451631355
244 	0.0335032883833482
245 	0.0356187316035609
246 	0.0377341748237735
247 	0.0398496180439862
248 	0.0419949231143879
249 	0.0441660787416697
250 	0.0463372343689515
251 	0.0485083899962333
252 	0.0506795456235151
253 	0.0528507012507969
254 	0.0548706928991754
255 	0.0558966668680987
256 	0.0569226408370219
257 	0.0579486148059452
258 	0.0589745887748685
259 	0.0600005627437918
260 	0.0610265367127151
261 	0.0599072071595224
262 	0.0580104242863257
263 	0.056113641413129
264 	0.0542168585399323
265 	0.0523200756667356
266 	0.050423292793539
267 	0.0482099454385982
268 	0.045387535425799
269 	0.0425651254129997
270 	0.0397427154002005
271 	0.0369203053874012
272 	0.034097895374602
273 	0.0312754853618027
274 	0.0291428543322984
275 	0.0270419704526528
276 	0.0249410865730072
277 	0.0228402026933617
278 	0.0207393188137161
279 	0.0186384349340705
280 	0.0206921146900087
281 	0.025816558872248
282 	0.0309410030544874
283 	0.0360654472367267
284 	0.041189891418966
285 	0.0463143356012054
286 	0.0518591218263869
287 	0.0590748199536119
288 	0.0662905180808369
289 	0.073506216208062
290 	0.080721914335287
291 	0.087937612462512
292 	0.095153310589737
293 	0.100542206527637
294 	0.105562228946539
295 	0.11058225136544
296 	0.115602273784342
297 	0.120622296203244
298 	0.125642318622145
299 	0.129484472186498
300 	0.131993047154337
301 	0.134501622122175
302 	0.137010197090013
303 	0.139518772057852
304 	0.14202734702569
305 	0.143873049654938
306 	0.140463121599653
307 	0.137053193544368
308 	0.133643265489083
309 	0.130233337433798
310 	0.126823409378513
311 	0.123413481323228
312 	0.118973587836502
313 	0.114210222946209
314 	0.109446858055916
315 	0.104683493165623
316 	0.0999201282753301
317 	0.0951567633850371
318 	0.0936462507804575
319 	0.0967022423462065
320 	0.0997582339119555
321 	0.102814225477704
322 	0.105870217043453
323 	0.108926208609202
324 	0.111937168568174
325 	0.114408334071872
326 	0.116879499575571
327 	0.11935066507927
328 	0.121821830582968
329 	0.124292996086667
330 	0.126764161590366
331 	0.121789220943483
332 	0.11425217925554
333 	0.106715137567597
334 	0.0991780958796545
335 	0.0916410541917117
336 	0.0841040125037689
337 	0.0783281313202421
