 	sdcm10
200 	0
201 	0
202 	0
203 	0.0180822019237422
204 	0.0177579687431737
205 	0.0175864856038164
206 	0.0175722250281547
207 	0.0177155667006205
208 	0.0180127485172396
209 	0.018389404742123
210 	0.0181435287332211
211 	0.0180160112264157
212 	0.0180093665524627
213 	0.0181237276581033
214 	0.0183568331234651
215 	0.0187042438476915
216 	0.0186233829786453
217 	0.0183483648877101
218 	0.0181807035626222
219 	0.0181233787552838
220 	0.0181774343755971
221 	0.0183418856976851
222 	0.0186597985632486
223 	0.0193117748083952
224 	0.0201464232090358
225 	0.0211421202348117
226 	0.0222772818352498
227 	0.0235317335092278
228 	0.0248874433393577
229 	0.0242738904517077
230 	0.02316466813195
231 	0.0221386925472407
232 	0.021208048749829
233 	0.0203857970627835
234 	0.0196855245810432
235 	0.0191128814410788
236 	0.0186860189771428
237 	0.0184351800270682
238 	0.0183675776636321
239 	0.0184852223414156
240 	0.0187846338792229
241 	0.0192573358521939
242 	0.0189160295651783
243 	0.0186468899991862
244 	0.0185101937297901
245 	0.0185088754474315
246 	0.0186429638707011
247 	0.0189095786992085
248 	0.0185501902048971
249 	0.0177362526208147
250 	0.0171674977170072
251 	0.0168687438518738
252 	0.016854354952338
253 	0.0171250478253716
254 	0.0174858537612463
255 	0.016906981273505
256 	0.016599749540141
257 	0.0165792668353573
258 	0.0168465791123998
259 	0.0173884186104578
260 	0.0181802560692772
261 	0.017643626082612
262 	0.0167031712372837
263 	0.0159362093366745
264 	0.0153687363587216
265 	0.0150233750238341
266 	0.0149155619254162
267 	0.0152064478805138
268 	0.0161433591879222
269 	0.0174239366344871
270 	0.0189787413455114
271 	0.0207462095699886
272 	0.0226766693592512
273 	0.0247319831024643
274 	0.0238883695721838
275 	0.0230294193059883
276 	0.0223077836999269
277 	0.0217371428875169
278 	0.02132961920663
279 	0.0210946684582919
280 	0.0206170924461773
281 	0.0199193052088507
282 	0.0192946392729538
283 	0.0187504041274959
284 	0.0182937795661903
285 	0.0179314598482457
286 	0.0175544407711271
287 	0.0168487956918473
288 	0.0163004841575507
289 	0.0159257650774417
290 	0.0157370437141006
291 	0.0157410113538969
292 	0.015937524087946
293 	0.0153616495364645
294 	0.0147501068769197
295 	0.0143127896679802
296 	0.014065957559975
297 	0.0140196752771985
298 	0.0141759072541074
299 	0.0141573786583315
300 	0.0139334527189351
301 	0.0139403250644162
302 	0.0141776600737834
303 	0.0146342492622369
304 	0.0152904637537971
305 	0.0159466834350762
306 	0.0153591460006879
307 	0.0149175065707861
308 	0.0146349793930683
309 	0.0145208548132921
310 	0.0145790881165102
311 	0.0148076459721427
312 	0.0143490490866016
313 	0.0139722304330354
314 	0.0139961214139421
315 	0.0144187303105928
316 	0.0152068514387838
317 	0.0163075766246461
318 	0.0167156031395737
319 	0.0160034806593024
320 	0.0155159120570903
321 	0.0152744161777727
322 	0.0152906566581688
323 	0.0155638266940349
324 	0.0160082948565455
325 	0.0157992355233723
326 	0.0157980565896459
327 	0.016004803993617
328 	0.0164116214834586
329 	0.017004155331457
330 	0.0177638308743945
331 	0.0171296947731979
332 	0.0161033880701701
333 	0.0152402485033683
334 	0.0145693048681361
