 	sdc0
200 	0
201 	0
202 	0
203 	0.00896617337656533
204 	0.00851629515624356
205 	0.00831273852308601
206 	0.00837348677155763
207 	0.00869300063666253
208 	0.00924448807776242
209 	0.00986560594888177
210 	0.00915437586004021
211 	0.00856456381215605
212 	0.00812266264567413
213 	0.0078536795755682
214 	0.00777558078559377
215 	0.00789403379066897
216 	0.00758504223971639
217 	0.00714171949607462
218 	0.00697839155314921
219 	0.0071143685386433
220 	0.00753346072295677
221 	0.00819233305909547
222 	0.00874375931091025
223 	0.00823545300940516
224 	0.00805952253948778
225 	0.00823729195611656
226 	0.00874722309578838
227 	0.00953617863276925
228 	0.010541695871921
229 	0.0106146039127191
230 	0.0105100529457995
231 	0.0106107617482899
232 	0.0109110481664366
233 	0.0113951452187978
234 	0.0120409033000247
235 	0.0121197136262612
236 	0.0108595893159207
237 	0.00989316556762471
238 	0.0093123355231924
239 	0.00919049965750972
240 	0.00954525002935808
241 	0.0103275909776353
242 	0.00968958271658155
243 	0.00906868945784781
244 	0.00872821689905029
245 	0.00870114581439923
246 	0.00899030773792479
247 	0.00956707136245604
248 	0.00961034961090621
249 	0.00897912623913833
250 	0.00857888685434225
251 	0.00844254668731637
252 	0.00858269146259571
253 	0.00898639494922166
254 	0.00950410661023472
255 	0.00826044169300153
256 	0.00737717355741665
257 	0.00699224003142167
258 	0.00718617351904217
259 	0.00791654579109784
260 	0.00905445983520352
261 	0.00884677229719811
262 	0.00795634007885446
263 	0.00732505640388504
264 	0.00702315397009107
265 	0.00709281809670262
266 	0.00752373457240591
267 	0.00783385192319767
268 	0.00729641733011779
269 	0.00742190383290424
270 	0.00817985867258685
271 	0.00941881096800918
272 	0.0109770849020888
273 	0.0127380244383979
274 	0.0116266018633761
275 	0.0103285497004021
276 	0.00953901874202132
277 	0.0093872088413082
278 	0.0099024932579012
279 	0.0109914479136266
280 	0.0113145184325041
281 	0.0104096262220658
282 	0.00964079943249813
283 	0.009042810083325
284 	0.00865115712488244
285 	0.00849442934437717
286 	0.00855364158165667
287 	0.0084298577298336
288 	0.00848822750560944
289 	0.00872509592111709
290 	0.00912657544111501
291 	0.00967218938689649
292 	0.0103391442389389
293 	0.0106604802165787
294 	0.0109944916242993
295 	0.011536709294436
296 	0.012259538500722
297 	0.0131331913408685
298 	0.0141297187862979
299 	0.0146462082559326
300 	0.0140246064630726
301 	0.0134609256172619
302 	0.0129627239561887
303 	0.0125378095422099
304 	0.0121938462238377
305 	0.0119378333547576
306 	0.011638949436993
307 	0.0115044642735429
308 	0.011547627091887
309 	0.0117664830639004
310 	0.0121515429037032
311 	0.0126876832083616
312 	0.012386003411987
313 	0.0118442482158244
314 	0.0118362057451746
315 	0.0123629176351654
316 	0.0133612916229458
317 	0.0147357697654603
318 	0.015754727147503
319 	0.0150028684287715
320 	0.0144199319471801
321 	0.0140269938441241
322 	0.0138402463098169
323 	0.0138680215676649
324 	0.0141090527377833
325 	0.0130754064068521
326 	0.0120733813823325
327 	0.0113219387268086
328 	0.0108731563170689
329 	0.0107649539380654
330 	0.0110073798659525
331 	0.0110878187067186
332 	0.0109866138547481
333 	0.011070487836405
334 	0.0113353330123558
