 	avma20
200 	0
201 	0
202 	0
203 	0.0494805688982745
204 	0.0525564217008534
205 	0.0556322745034322
206 	0.058708127306011
207 	0.0617839801085899
208 	0.0648598329111687
209 	0.0677711012875934
210 	0.0687368973446055
211 	0.0697026934016177
212 	0.0706684894586298
213 	0.0716342855156419
214 	0.072600081572654
215 	0.0735658776296662
216 	0.073075480513009
217 	0.0717224976310572
218 	0.0703695147491054
219 	0.0690165318671536
220 	0.0676635489852018
221 	0.06631056610325
222 	0.064896268945221
223 	0.0632118575439331
224 	0.0615274461426452
225 	0.0598430347413572
226 	0.0581586233400693
227 	0.0564742119387814
228 	0.0547898005374935
229 	0.0529598908586153
230 	0.0510807026466308
231 	0.0492015144346463
232 	0.0473223262226618
233 	0.0454431380106774
234 	0.0435639497986929
235 	0.0417333361003623
236 	0.0400083526936282
237 	0.0382833692868942
238 	0.0365583858801602
239 	0.0348334024734261
240 	0.0331084190666921
241 	0.031383435659958
242 	0.0323608377576775
243 	0.033675658067989
244 	0.0349904783783005
245 	0.036305298688612
246 	0.0376201189989235
247 	0.038934939309235
248 	0.0400149878594148
249 	0.0408292287238166
250 	0.0416434695882183
251 	0.0424577104526201
252 	0.0432719513170218
253 	0.0440861921814236
254 	0.0448898512223196
255 	0.0455116952957081
256 	0.0461335393690966
257 	0.0467553834424851
258 	0.0473772275158736
259 	0.0479990715892621
260 	0.0486209156626505
261 	0.0485782302631948
262 	0.0481729808700543
263 	0.0477677314769139
264 	0.0473624820837734
265 	0.0469572326906329
266 	0.0465519832974924
267 	0.0471609367694626
268 	0.0508952909073859
269 	0.0546296450453091
270 	0.0583639991832324
271 	0.0620983533211556
272 	0.0658327074590789
273 	0.0695670615970022
274 	0.0768472190562545
275 	0.0847580199801955
276 	0.0926688209041365
277 	0.100579621828078
278 	0.108490422752019
279 	0.11640122367596
280 	0.122180528435271
281 	0.125447546865465
282 	0.128714565295659
283 	0.131981583725853
284 	0.135248602156047
285 	0.138515620586241
286 	0.141544759569484
287 	0.141640052040327
288 	0.14173534451117
289 	0.141830636982013
290 	0.141925929452856
291 	0.142021221923699
292 	0.142116514394542
293 	0.144646724813835
294 	0.148235443322626
295 	0.151824161831416
296 	0.155412880340207
297 	0.159001598848998
298 	0.162590317357788
299 	0.163496503001396
300 	0.158831274232699
301 	0.154166045464002
302 	0.149500816695305
303 	0.144835587926608
304 	0.140170359157911
305 	0.135505130389214
306 	0.128703576496344
307 	0.121810688578353
308 	0.114917800660361
309 	0.10802491274237
310 	0.101132024824378
311 	0.0942391369063869
312 	0.0915150295629204
313 	0.0915817085473078
314 	0.0916483875316953
315 	0.0917150665160828
316 	0.0917817455004702
317 	0.0918484244848577
318 	0.0926039083990511
319 	0.0954706074233003
320 	0.0983373064475494
321 	0.101204005471799
322 	0.104070704496048
323 	0.106937403520297
324 	0.109804102544546
325 	0.10913221067037
326 	0.108058385308846
327 	0.106984559947322
328 	0.105910734585797
329 	0.104836909224273
330 	0.103763083862749
331 	0.103127631430061
332 	0.102842246588027
333 	0.102556861745993
334 	0.102271476903959
335 	0.101986092061925
336 	0.101700707219891
337 	0.101382665458366
338 	0.10094884007319
