 	avcm15
200 	0
201 	0
202 	0
203 	0.0508620569129944
204 	0.0498525308486869
205 	0.0488430047843794
206 	0.047833478720072
207 	0.0468239526557645
208 	0.045814426591457
209 	0.0448533100025677
210 	0.0444648898490352
211 	0.0440764696955027
212 	0.0436880495419702
213 	0.0432996293884377
214 	0.0429112092349052
215 	0.0425227890813727
216 	0.0415227063714458
217 	0.0401764200323239
218 	0.038830133693202
219 	0.0374838473540802
220 	0.0361375610149583
221 	0.0347912746758364
222 	0.0336139141797297
223 	0.0330978933173976
224 	0.0325818724550654
225 	0.0320658515927333
226 	0.0315498307304012
227 	0.031033809868069
228 	0.0305177890057369
229 	0.0300076769596214
230 	0.0295009940813268
231 	0.0289943112030323
232 	0.0284876283247377
233 	0.0279809454464431
234 	0.0274742625681486
235 	0.0272546086050394
236 	0.0275542838607062
237 	0.027853959116373
238 	0.0281536343720398
239 	0.0284533096277065
240 	0.0287529848833733
241 	0.0290526601390401
242 	0.0313065503718436
243 	0.0337629447317208
244 	0.036219339091598
245 	0.0386757334514751
246 	0.0411321278113523
247 	0.0435885221712295
248 	0.0459896236039914
249 	0.0482925741696614
250 	0.0505955247353315
251 	0.0528984753010016
252 	0.0552014258666716
253 	0.0575043764323417
254 	0.0596484324499337
255 	0.0603545656129535
256 	0.0610606987759734
257 	0.0617668319389933
258 	0.0624729651020132
259 	0.0631790982650331
260 	0.063885231428053
261 	0.0622585400782317
262 	0.0595674198605639
263 	0.0568762996428962
264 	0.0541851794252284
265 	0.0514940592075606
266 	0.0488029389898928
267 	0.0461431274243047
268 	0.0436778073067066
269 	0.0412124871891086
270 	0.0387471670715105
271 	0.0362818469539124
272 	0.0338165268363143
273 	0.0313512067187163
274 	0.0296716109192579
275 	0.0280447028358794
276 	0.0264177947525009
277 	0.0247908866691224
278 	0.0231639785857439
279 	0.0215370705023654
280 	0.0230574298584483
281 	0.0275906344395267
282 	0.0321238390206051
283 	0.0366570436016834
284 	0.0411902481827618
285 	0.0457234527638402
286 	0.0508876132985886
287 	0.0594989231177218
288 	0.0681102329368551
289 	0.0767215427559883
290 	0.0853328525751215
291 	0.0939441623942548
292 	0.102555472213388
293 	0.109877653289473
294 	0.116843769077133
295 	0.123809884864793
296 	0.130776000652453
297 	0.137742116440113
298 	0.144708232227773
299 	0.150820864727343
300 	0.155692697275258
301 	0.160564529823172
302 	0.165436362371086
303 	0.170308194919
304 	0.175180027466915
305 	0.179497539509311
306 	0.174473560122171
307 	0.169238102747548
308 	0.164002645372925
309 	0.158767187998302
310 	0.153531730623679
311 	0.148296273249056
312 	0.141813488484659
313 	0.134733502937849
314 	0.127653517391039
315 	0.120573531844228
316 	0.113493546297418
317 	0.106413560750608
318 	0.103333546360165
319 	0.108295267556299
320 	0.113256988752432
321 	0.118218709948565
322 	0.123180431144699
323 	0.128142152340832
324 	0.132952058764899
325 	0.134273064571855
326 	0.135404484981018
327 	0.136535905390181
328 	0.137667325799344
329 	0.138798746208507
330 	0.13993016661767
331 	0.135845877028003
332 	0.129030613281515
333 	0.122215349535026
334 	0.115400085788538
335 	0.10858482204205
336 	0.101769558295562
337 	0.0960553050591591
