 	sdca15
200 	0
201 	0
202 	0
203 	0.0188479616037792
204 	0.0183050403733842
205 	0.0178684903168882
206 	0.0175462527628563
207 	0.01734470012745
208 	0.0172680588279082
209 	0.0172981080318659
210 	0.0171863265210232
211 	0.0171170743776819
212 	0.0170908685962332
213 	0.0171079069922381
214 	0.017168060813475
215 	0.0172708795576261
216 	0.0172346799945183
217 	0.0171953273022919
218 	0.0172658963882859
219 	0.0174450533300328
220 	0.0177295065871257
221 	0.0181142963566561
222 	0.0185262178158311
223 	0.0187919760502558
224 	0.0191699768597152
225 	0.0196537450208734
226 	0.0202356963187299
227 	0.0209076337560488
228 	0.0216611847474958
229 	0.021512816388442
230 	0.0211680570447498
231 	0.0209010395332218
232 	0.0207147703950919
233 	0.0206114389576759
234 	0.0205922937946014
235 	0.0200780241486183
236 	0.0186428905570712
237 	0.0173368842699408
238 	0.0161912821392149
239 	0.0152422948301741
240 	0.0145285016200637
241 	0.0140857033979275
242 	0.0143978806123149
243 	0.0150078857988874
244 	0.0158578481589098
245 	0.016911626248302
246 	0.0181337226885738
247 	0.0194925046308204
248 	0.0192453271276348
249 	0.0175956021065118
250 	0.0160444603348567
251 	0.0146233066742103
252 	0.0133736451816369
253 	0.0123476544131161
254 	0.0117565937428175
255 	0.0124266670148476
256 	0.0132906229685866
257 	0.0143133963062342
258 	0.015463506002084
259 	0.0167146872858763
260 	0.0180459295516677
261 	0.0174529957089952
262 	0.0162431895786305
263 	0.0151678965491254
264 	0.0142575837129271
265 	0.0135455539017714
266 	0.0130642679568731
267 	0.013113247955389
268 	0.0140489839224839
269 	0.0153289005602151
270 	0.0168748630018668
271 	0.0186207243708358
272 	0.0205155140484844
273 	0.0225216745174186
274 	0.0220758120915209
275 	0.0216046349388058
276 	0.0212312204489054
277 	0.0209607941699018
278 	0.0207973739276858
279 	0.0207434889041116
280 	0.0197057464968055
281 	0.017930571004012
282 	0.0162333272140524
283 	0.0146411424664229
284 	0.0131921111798194
285 	0.0119384733703418
286 	0.0112089969800885
287 	0.0116992456856135
288 	0.0122763070376101
289 	0.0129285617107095
290 	0.0136452310310303
291 	0.0144167118452641
292 	0.0152346795018858
293 	0.0145025562562939
294 	0.0135333465931911
295 	0.0126713552864052
296 	0.011939826728876
297 	0.0113639835698251
298 	0.0109683738800851
299 	0.0107398169746274
300 	0.0106687533263375
301 	0.0107899781068562
302 	0.0110971914768147
303 	0.0115755946248215
304 	0.0122050737106238
305 	0.0128799057981037
306 	0.0131018421362195
307 	0.0135983649637729
308 	0.014340981847303
309 	0.015293886338421
310 	0.0164205093298461
311 	0.0176876867425264
312 	0.0166128675200378
313 	0.0149845640301545
314 	0.0136654966731062
315 	0.0127519915183849
316 	0.0123344892176631
317 	0.012462937416586
318 	0.0124995922382316
319 	0.0120121573927325
320 	0.01183754426359
321 	0.0119894283857106
322 	0.0124558717759405
323 	0.0132035790693363
324 	0.0141060035821088
325 	0.0142326388231384
326 	0.0145644888518865
327 	0.0150880190879692
328 	0.0157841680590552
329 	0.0166312735372085
330 	0.0176075612864979
331 	0.0174142492361527
332 	0.0168935288008357
333 	0.0164967788487405
334 	0.0162330917442614
