 	sdmm15
200 	0
201 	0
202 	0
203 	0.00905355700148968
204 	0.0089567081847816
205 	0.00919206800876455
206 	0.00973557254045593
207 	0.0105396582840961
208 	0.0115500297161028
209 	0.0126582948151678
210 	0.0115838121356905
211 	0.0106672787207865
212 	0.00995242798334279
213 	0.00948497053052937
214 	0.00930227740454469
215 	0.00942092986928046
216 	0.00901781257196672
217 	0.00828144659211595
218 	0.00778511213460037
219 	0.00757613248655408
220 	0.00767800723981317
221 	0.00807898546295957
222 	0.00841787288001188
223 	0.00748067195647634
224 	0.00678269219007454
225 	0.00640265297347118
226 	0.0063974688886008
227 	0.00676800137345182
228 	0.00745846286643506
229 	0.00764539839031258
230 	0.00799463709337791
231 	0.00871146293142055
232 	0.00971484477481218
233 	0.0109261196238352
234 	0.0122839419370371
235 	0.0127956090059639
236 	0.0118455079272027
237 	0.0113215268952108
238 	0.0112831887952911
239 	0.0117352542583034
240 	0.0126251534877606
241 	0.0138688598535584
242 	0.0126697227866991
243 	0.011547956699987
244 	0.0107096262738051
245 	0.0102246881825908
246 	0.0101439521126964
247 	0.0104767668211607
248 	0.0103082436360536
249 	0.00964585963165794
250 	0.00919305978027445
251 	0.00898159825033351
252 	0.00902844865155308
253 	0.00932972035452886
254 	0.00966320680711322
255 	0.0091852047048854
256 	0.00896694609697928
257 	0.00902729064024686
258 	0.00936085185561221
259 	0.00994016276445321
260 	0.0107254762722594
261 	0.0105302672744957
262 	0.0102316026893564
263 	0.0101930793015653
264 	0.0104175834548026
265 	0.0108888581477663
266 	0.0115768055102088
267 	0.0116014911504815
268 	0.0105752711290827
269 	0.00991121457378584
270 	0.00968411284200781
271 	0.00992400932491292
272 	0.0105992420936725
273 	0.0116036806336148
274 	0.011177285100948
275 	0.0109383662513372
276 	0.0108992598972812
277 	0.011062085355309
278 	0.011418207151185
279 	0.0119503570124986
280 	0.0111654581984301
281 	0.0100756174888217
282 	0.00971733785355162
283 	0.0101682455870196
284 	0.0113321559226246
285 	0.0130192270726901
286 	0.0139713348161082
287 	0.0123961339972992
288 	0.0110420800989552
289 	0.00999941903522571
290 	0.0093726561053882
291 	0.00924675279194013
292 	0.00964135079841926
293 	0.00895478721160888
294 	0.00836155661419346
295 	0.00802174134794155
296 	0.00796783092992893
297 	0.00820546253640423
298 	0.00871080888198556
299 	0.00855586697383813
300 	0.00791039532066607
301 	0.00745575684851025
302 	0.00722805145517723
303 	0.00724869692378996
304 	0.00751564687481555
305 	0.00766356269497575
306 	0.00686727064769897
307 	0.00635657257666054
308 	0.00620242045500296
309 	0.00643050696940814
310 	0.00700358594373306
311 	0.007846426451805
312 	0.0075500362773614
313 	0.00739042478727314
314 	0.00756575470861318
315 	0.00805418184008512
316 	0.00880374811901752
317 	0.00975443754404862
318 	0.0101410814512758
319 	0.0100362456383704
320 	0.0100115691940069
321 	0.0100676415629204
322 	0.0102031315414864
323 	0.0104149401134468
324 	0.01034736046695
325 	0.00921293321818795
326 	0.00838323775996539
327 	0.00795421141314184
328 	0.00799065392050801
329 	0.00848657103648063
330 	0.00936928454283793
331 	0.00880408957993222
332 	0.00827157830270428
333 	0.00801151309968357
